name,Lat,Longitude,Height,Description
Semema,14.2224217,38.34113,2,9 to 12
May dmu,14.0799402,38.2508325,2,9 to 10
Beles,14.0750417,38.391225,2,9 to 10
Mai-Tsebri 2nd,13.5874133,38.1440467,2,9 to 12
Dima Secondary school,13.67893,38.3305883,2,9 to 10
Tsaedaqerni,13.555915,38.0379367,2,9 to 10
fiyel wha,13.5189833,38.5247983,2,9 to 10
Sheraro Sec,14.3942335,37.77342,2,9 to 10
Mesenado(Pre.) school sheraro,14.3928111,37.7689499,2,11 to 12
Shire 9-10,14.09729272,38.28707265,2,9 to 10
Shire-preparatori (11-12),14.09978586,38.27467331,2,11 to 12
Freswat,14.10630643,38.30191428,2,9 to 10
Atsbi Sr.,13.8628183,39.7377983,2,9 to 12
Hykmshale,13.7525317,39.705255,2,9 to 10
fregeganu /Habese/,13.8127917,39.6761083,2,9 to 10
Dera,13.7511233,39.697165,2,9 to 10
Dewhen sr.,14.5129812,39.5581865,2,9 to 12
Lideta-Mariam,14.5249542,39.5676795,2,9 to 10
Endalgeda sec.sch.,14.6299408,39.5195471,2,9 to 10
GALILO,14.462901,39.6617932,2,9 to 10
Endamosa,14.4239808,39.5576783,2,9 to 10
Bzet-sec,14.2842033,39.2930667,2,9 to 12
Ahzera,14.322125,39.2616733,2,9 to 10
H/gebreslassie gebre sec.,14.2435583,39.40147,2,9 to 10
Berhane Gidey Azeba 2nd school,14.1543117,39.3531767,2,9 to 10
Rae Melese/siheta/,14.1695733,39.4665,2,9 to 10
Zalamebesa,14.52372,39.38378,2,9 to 10
Yemane,14.398078,39.3867463,2,10 to 12
Sebeya,14.4719933,39.4927717,2,9 to 10
Medebay,14.3408433,39.3649017,2,9 to 10
Sdaday Secondery,14.3523183,39.48083,2,9 to 10
Asefa secondery,14.4185217,39.5080733,2,9 to 10
Zalambesa New,14.5247067,39.3816117,2,11 to 12
shewit,14.4289467,39.4500233,2,9 to 10
Masho (Hawzen),13.9812867,39.4377533,2,9 to 10
Megab,13.9354283,39.3713383,2,9 to 10
Mokenen Abrha,14.09874,39.3957583,2,9 to 10
Hawzien Priparatory,13.9804615,39.4364509,2,11 to 12
Edaga-Hamus Sr.,14.1859517,39.566105,2,9 to 12
Tekli-Swuat,14.0627467,39.5700183,2,9 to 12
Saesie,13.9623717,39.5963367,2,9 to 10
